raw_test_row,target,CWE_raw,CWE,Lines,Line_Index
146,1,,UNKNOWN,"  transform_node_map_.Set(TransformPaintPropertyNode::Root(),",25
177,1,,UNKNOWN,    parse_input(conn);,11
228,1,,UNKNOWN,        return V8Proxy::throwNotEnoughArgumentsError();,4
229,1,,UNKNOWN,"  // Both |left_padding| and |right_padding| include the app icon group margin./~/  gfx::Insets padding_insets = CalculateEdgePadding();/~/  const int left_padding = padding_insets.left();/~/  const int right_padding = padding_insets.right();/~/  space_for_icons_ =/~/      (is_horizontal ? width() : height()) - left_padding - right_padding;/~/    left_arrow_bounds.Offset(left_padding, 0);/~/        shelf_container_bounds.right() - right_padding - kArrowButtonGroupWidth,/~/      left_padding + (left_arrow_bounds.IsEmpty() ? GetAppIconEndPadding() : 0),/~/      right_padding +/~/                                GetAppIconEndPadding() - left_padding,/~/                                   GetAppIconEndPadding() - left_padding);/~/  gfx::Insets padding_insets(/~/      /*vertical= */ 0,/~/      /*horizontal= */ ShelfConfig::Get()->app_icon_group_margin());/~/  padding_insets.set_left(padding_insets.left() + gap / 2);/~/  padding_insets.set_right(padding_insets.right() +/~/                           (gap % 2 ? gap / 2 + 1 : gap / 2));/~/  const int left_padding = gap - GetShelf()->PrimaryAxisValue(/~/                                     screen_bounds.x() - display_bounds.x(),/~/                                     screen_bounds.y() - display_bounds.y());/~/  const int right_padding =/~/  return gfx::Insets(0, left_padding, 0, right_padding);/~/  float offset = space_for_icons_ - kArrowButtonGroupWidth -","6,7,8,9,10,11,32,42,53,55,102,105,174,175,176,187,188,189,205,206,207,208,213,371"
272,1,,UNKNOWN,		if (regset->core_note_type &&,31
389,1,,UNKNOWN,"        if ((st=krb5_add_ber_mem_ldap_mod(&mods, ""krbprincipalkey"",/~/                                          LDAP_MOD_REPLACE | LDAP_MOD_BVALUES, bersecretkey)) != 0)","537,538"
472,1,,UNKNOWN,"  std::map<int64, int64> expected_legacy_meta_proto_times;/~/  expected_legacy_meta_proto_times[1] = LEGACY_META_PROTO_TIMES(1);/~/  expected_legacy_meta_proto_times[2] = LEGACY_META_PROTO_TIMES(2);/~/  expected_legacy_meta_proto_times[4] = LEGACY_META_PROTO_TIMES(4);/~/  expected_legacy_meta_proto_times[5] = LEGACY_META_PROTO_TIMES(5);/~/  expected_legacy_meta_proto_times[6] = LEGACY_META_PROTO_TIMES(6);/~/  expected_legacy_meta_proto_times[7] = LEGACY_META_PROTO_TIMES(7);/~/  expected_legacy_meta_proto_times[8] = LEGACY_META_PROTO_TIMES(8);/~/  expected_legacy_meta_proto_times[9] = LEGACY_META_PROTO_TIMES(9);/~/  expected_legacy_meta_proto_times[10] = LEGACY_META_PROTO_TIMES(10);/~/  expected_legacy_meta_proto_times[11] = LEGACY_META_PROTO_TIMES(11);/~/  expected_legacy_meta_proto_times[12] = LEGACY_META_PROTO_TIMES(12);/~/  expected_legacy_meta_proto_times[13] = LEGACY_META_PROTO_TIMES(13);/~/  expected_legacy_meta_proto_times[14] = LEGACY_META_PROTO_TIMES(14);/~/  return expected_legacy_meta_proto_times;/~/}","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
904,1,,UNKNOWN,"      // TODO(danakj): Can this be null to start?/~/      raster_source_(PicturePileImpl::Create()),","6,7"
934,1,,UNKNOWN,"    const base::Time& mtime,/~/  tab->timestamp = mtime;","2,16"
947,1,,UNKNOWN,  DCHECK(!manifest_fetcher_);/~/  DCHECK(pending_url_fetches_.empty());/~/  DCHECK(master_entry_fetches_.empty());,"6,7,10"
1039,1,,UNKNOWN,{/~/    if (WebDevToolsAgentImpl* agent = devToolsAgent())/~/        agent->clearBrowserCache();/~/},"1,2,3,4"
1093,1,,UNKNOWN,  // TODO(kinuko): Uncomment this when blink side becomes ready./~/  // proxy_->dispatchInstallEvent(current_request_id_);/~/  // TODO(kinuko): this should be called asynchronously from blink side/~/  // when blink-side plumbing is done./~/  DidHandleInstallEvent(current_request_id_);,"2,3,4,5,6"
1154,1,,UNKNOWN,      return;,12
