seed,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA,Effort@20%Recall,Recall@1%LOC,n_rows
0,0.92,0.33399999999999996,0.8265895721925135,0.8261904761904763,0.8534845679012346,0.0,0.0121793688872485,0.1626297577854671,50
1,0.94,0.3179999999999999,0.8216908793820561,0.7881666666666667,0.816937855883094,0.0,0.0136556560250968,0.1453287197231834,50
2,0.96,0.35,0.8675744206773619,0.8505555555555556,0.8672623456790123,0.0,0.0134711201328658,0.1418685121107266,50
3,0.96,0.34,0.8578825014854428,0.8365,0.8656154320987655,0.0,0.0129175124561727,0.1557093425605536,50
4,0.94,0.34,0.8478346702317292,0.8440000000000001,0.8696342592592592,0.0,0.0125484406717106,0.1557093425605536,50
5,0.96,0.34,0.8666451277480689,0.8403333333333333,0.8718538139329806,0.0,0.0127329765639416,0.1557093425605536,50
6,0.94,0.3440000000000001,0.8469861853832442,0.8466666666666667,0.8732453703703703,0.0,0.0127329765639416,0.1522491349480969,50
7,0.94,0.342,0.8503195187165776,0.8161904761904762,0.8451374338624339,0.0,0.0125484406717106,0.1557093425605536,50
8,0.94,0.336,0.8474131016042782,0.8416666666666667,0.8673895313681029,0.0,0.0131020483484037,0.1453287197231834,50
9,0.94,0.342,0.8516528520499109,0.8483333333333334,0.868108774250441,0.0,0.0116257612105554,0.1730103806228373,50
