seed,baseline::A@10,improved::A@10,baseline::P@10,improved::P@10,baseline::R@10,improved::R@10,baseline::MRR@10,improved::MRR@10,baseline::MAP@10,improved::MAP@10,baseline::Median IFA,improved::Median IFA,baseline::Effort@20%Recall,improved::Effort@20%Recall,baseline::Recall@1%LOC,improved::Recall@1%LOC
0,0.674,0.92,0.172,0.3339999999999999,0.514,0.8265895721925135,0.35100000000000003,0.8261904761904763,0.32899999999999996,0.8534845679012346,4.0,0.0,0.9,0.0121793688872485,0.201,0.1626297577854671
1,0.652,0.94,0.172,0.3179999999999999,0.502,0.8216908793820561,0.35100000000000003,0.7881666666666667,0.32799999999999996,0.816937855883094,4.5,0.0,0.9,0.0136556560250968,0.20800000000000002,0.1453287197231834
2,0.652,0.96,0.163,0.35,0.502,0.8675744206773619,0.354,0.8505555555555556,0.336,0.8672623456790123,4.5,0.0,1.0,0.0134711201328658,0.201,0.1418685121107266
3,0.63,0.96,0.161,0.34,0.48,0.8578825014854428,0.33299999999999996,0.8365,0.312,0.8656154320987655,5.5,0.0,1.0,0.0129175124561727,0.201,0.1557093425605536
4,0.644,0.94,0.16399999999999998,0.34,0.491,0.8478346702317292,0.34,0.8440000000000001,0.317,0.8696342592592592,5.0,0.0,1.0,0.0125484406717106,0.201,0.1557093425605536
5,0.667,0.96,0.16699999999999998,0.34,0.513,0.8666451277480689,0.36,0.8403333333333333,0.342,0.8718538139329806,4.0,0.0,0.9,0.0127329765639416,0.201,0.1557093425605536
6,0.625,0.94,0.165,0.3440000000000001,0.48100000000000004,0.8469861853832442,0.336,0.8466666666666667,0.312,0.8732453703703703,5.0,0.0,0.9,0.0127329765639416,0.204,0.1522491349480969
7,0.652,0.94,0.172,0.342,0.502,0.8503195187165776,0.348,0.8161904761904762,0.327,0.8451374338624339,4.5,0.0,0.9,0.0125484406717106,0.20800000000000002,0.1557093425605536
8,0.652,0.94,0.172,0.336,0.502,0.8474131016042782,0.35700000000000004,0.8416666666666667,0.33299999999999996,0.8673895313681029,4.5,0.0,0.9,0.0131020483484037,0.20800000000000002,0.1453287197231834
9,0.638,0.94,0.168,0.342,0.491,0.8516528520499109,0.34700000000000003,0.8483333333333334,0.325,0.868108774250441,5.0,0.0,0.9,0.0116257612105554,0.20800000000000002,0.1730103806228373
